"country","iso2c","iso3c","year","arrivals","gdp_pc","gdp_growth","reer","population"
"Australia","AU","AUS",2015,7449000,56970.3613028094,2.16434780647852,89.8198980719344,23815995
"Australia","AU","AUS",2016,8269000,57632.9995925594,2.75564065529868,91.0016939062488,24190907
"Australia","AU","AUS",2017,8815000,57991.771347333,2.29331030192918,93.7821941909945,24592588
"Australia","AU","AUS",2018,9246000,58772.7063152213,2.87417039499501,89.9642679697642,24963258
"Australia","AU","AUS",2019,9466000,59181.2997904131,2.19401703622717,86.0251557438463,25334826
"Australia","AU","AUS",2020,1828000,58377.7670517802,-0.133531904304775,85.3255473928114,25649248
"Belgium","BE","BEL",1995,5560000,31508.622663522,2.38475724870135,107.875359741307,10136811
"Belgium","BE","BEL",1996,5829000,31862.6693868132,1.32143214432601,105.113889634228,10156637
"Belgium","BE","BEL",1997,6037000,32991.5010116146,3.79367165541437,98.8273862895095,10181245
"Belgium","BE","BEL",1998,6179000,33566.9875919507,1.96183240455609,98.6411461211524,10203008
"Belgium","BE","BEL",1999,6369000,34676.6051555263,3.54271798823922,96.9185318360067,10226419
"Belgium","BE","BEL",2000,6457000,35878.3153586195,3.71670510672588,92.9308453627999,10251250
"Belgium","BE","BEL",2001,6452000,36148.2880924306,1.09960362419645,93.5454283690263,10286570
"Belgium","BE","BEL",2002,6720000,36600.862592332,1.70689430349601,95.0253297816913,10332785
"Belgium","BE","BEL",2003,6690000,36826.2699296094,1.03795518162204,99.6142864324814,10376133
"Belgium","BE","BEL",2004,6710000,37976.6972967442,3.57120671942319,101.176412232359,10421137
"Belgium","BE","BEL",2005,6747000,38645.2605193362,2.32173792911834,100.943518811919,10478617
"Belgium","BE","BEL",2006,6995000,39371.0858277448,2.55234087322462,100.496867245964,10547958
"Belgium","BE","BEL",2007,7045000,40520.0843207009,3.67692462515802,101.320651328433,10625700
"Belgium","BE","BEL",2008,7165000,40380.9075004042,0.446905130727231,104.028154049015,10709973
"Belgium","BE","BEL",2009,6815000,39293.637546825,-1.90644105515335,104.090298058862,10796493
"Belgium","BE","BEL",2010,7186000,39991.5646206286,2.71031150254662,100,10895586
"Belgium","BE","BEL",2011,7494000,40236.9596308558,1.93115502411325,100.810710613095,11038264
"Belgium","BE","BEL",2012,7560000,40074.492800399,0.215803612089744,98.5761049474957,11106932
"Belgium","BE","BEL",2013,7684000,40007.8997891411,0.305494549070232,100.247070047685,11159407
"Belgium","BE","BEL",2014,7887000,40533.9135027898,1.76554038149924,99.9605398158668,11209057
"Belgium","BE","BEL",2015,8355000,40893.804537772,1.47416433731927,94.4911167920675,11274196
"Belgium","BE","BEL",2016,7481000,41172.8862831209,1.19350273007754,97.3924267094727,11331422
"Belgium","BE","BEL",2017,8385000,41619.328629169,1.47446761556785,98.8499165936307,11375158
"Belgium","BE","BEL",2018,9119000,42208.3625650272,1.87796847383565,101.234011004973,11427054
"Belgium","BE","BEL",2019,9343000,43006.4042308863,2.4428900448156,99.7456278375366,11488980
"Belgium","BE","BEL",2020,2584000,40769.0218072962,-4.7929839083518,101.153772268175,11538604
"Brazil","BR","BRA",1995,1991000,6596.33572674819,4.22379363350413,101.401124167294,161735073
"Brazil","BR","BRA",1996,2666000,6640.7270065575,2.20886405039022,106.990181505154,164202549
"Brazil","BR","BRA",1997,2850000,6764.85842091319,3.39484598630671,109.759653793195,166661659
"Brazil","BR","BRA",1998,4818000,6687.49523550242,0.338097901207306,106.682456811169,169159655
"Brazil","BR","BRA",1999,5107000,6621.63676249539,0.467937566477133,70.9203564026795,171641543
"Brazil","BR","BRA",2000,5313000,6817.784240857,4.38794944745618,76.471194728176,174018282
"Brazil","BR","BRA",2001,4773000,6823.03396999891,1.38989640095637,63.8603375542606,176301203
"Brazil","BR","BRA",2002,3785000,6944.62337495755,3.05346185909312,60.8583573972029,178503484
"Brazil","BR","BRA",2003,4133000,6941.4404574508,1.14082899824888,57.5340970546667,180622688
"Brazil","BR","BRA",2004,4794000,7258.78185165912,5.75996463670954,60.3778141016967,182675143
"Brazil","BR","BRA",2005,5358000,7409.56913232718,3.20213206130431,73.3897461052788,184688101
"Brazil","BR","BRA",2006,5017000,7622.04007133264,3.96198871122617,81.618138895545,186653106
"Brazil","BR","BRA",2007,5026000,8003.25413096047,6.06987060678338,87.3657523365074,188552320
"Brazil","BR","BRA",2008,5050000,8330.76459841304,5.09419544658736,90.2626058143234,190367302
"Brazil","BR","BRA",2009,4802000,8246.09706995094,-0.125812002161169,89.0549167411935,192079951
"Brazil","BR","BRA",2010,5161000,8792.63436120342,7.52822581815364,100,193701929
"Brazil","BR","BRA",2011,5433000,9067.99316348047,3.97442307944702,103.263412273369,195284734
"Brazil","BR","BRA",2012,5677000,9167.49923929815,1.92117598576537,92.0828189946997,196876111
"Brazil","BR","BRA",2013,5813000,9366.73932434359,3.00482266944432,86.4313420764548,198478299
"Brazil","BR","BRA",2014,6430000,9338.34278278114,0.503955740242247,84.5613984914532,200085127
"Brazil","BR","BRA",2015,6306000,8936.19661712113,-3.54576339269425,69.492635070731,201675532
"Brazil","BR","BRA",2016,6547000,8577.84376650911,-3.27591690782192,73.1288322724346,203218114
"Brazil","BR","BRA",2017,6589000,8628.25308908043,1.32286905404399,79.6270434747115,204703445
"Brazil","BR","BRA",2018,6621000,8722.33630317935,1.783666761634,71.3080631265347,206107261
"Brazil","BR","BRA",2019,6353000,8771.44051292177,1.22077782360842,69.8695740174592,207455459
"Brazil","BR","BRA",2020,NA,8435.01143254978,-3.2767587964736,55.4728544866795,208660842
"Canada","CA","CAN",1995,41657000,32595.4842690909,2.68232826962129,80.735772175889,29302311
"Canada","CA","CAN",1996,43256000,32801.3348171586,1.68896122145787,81.5739792163179,29610218
"Canada","CA","CAN",1997,45076000,33867.0419274091,4.28016680422402,80.7906891111161,29905948
"Canada","CA","CAN",1998,48064000,34894.6484928404,3.89288658501088,76.0945248467904,30155173
